| Series   |   Mass | EOS   |   trise |    kpush |    xi175 |    xi200 |    xi225 |   Outcome |   M_rem |   M_Fe |    M_CO |    M_He |     M_H |     E_exp |   t_bounce |    t_exp |    t_end |
| s        |   11   | TM1   |     0.4 | 2.63408  | 0.060759 | 0.010333 | 0        |         0 | 1.40148 | 1.228  |  1.7453 |  2.7758 |  7.8365 | 0.677619  |   0.228059 | 0.359109 | 7        |
| w        |   20   | NL3   |     0.4 | 3.51085  | 0.971335 | 0.459458 | 0.330643 |         0 | 1.83464 | 1.5482 |  4.9705 |  6.2056 |  9.7242 | 1.43602   |   0.384608 | 0.379837 | 7        |
| w        |   19   | TM1   |     0.4 | 4.30048  | 0.49935  | 0.30562  | 0.208345 |         0 | 1.64971 | 1.4403 |  4.551  |  5.8098 |  9.6679 | 1.50755   |   0.332645 | 0.339637 | 2.18648  |
| w        |   17   | NL3   |     0.4 | 4.29239  | 0.353689 | 0.240364 | 0.191586 |         0 | 1.54692 | 1.4077 |  3.8085 |  5.0568 |  9.0603 | 1.46752   |   0.312435 | 0.310326 | 7        |
| s        |   34   | TM1   |     0.4 | 3.8289   | 0.85573  | 0.418954 | 0.305819 |         0 | 1.78561 | 1.529  | 10.2465 |  0      |  0      | 1.16737   |   0.398671 | 0.365307 | 7        |
| s        |   18   | TM1   |     0.4 | 4.28025  | 0.462765 | 0.317363 | 0.237786 |         0 | 1.60421 | 1.3909 |  4.0148 |  5.2489 |  9.2527 | 1.67185   |   0.290074 | 0.408001 | 7        |
| z        |   30   | NL3   |     0.4 | 4.12657  | 0.663919 | 0.365858 | 0.256287 |         0 | 1.70985 | 1.5002 |  8.5264 |  9.921  | 20.082  | 1.14312   |   0.376387 | 0.345748 | 6.9405   |
| z        |   14   | TM1   |     0.4 | 3.96781  | 0.305106 | 0.154054 | 0.078846 |         0 | 1.58474 | 1.3968 |  2.3148 |  3.3084 | 10.693  | 1.15808   |   0.309301 | 0.388752 | 7        |
| w        |   12   | TM1   |     0.4 | 3.56011  | 0.218691 | 0.097364 | 0.036383 |         0 | 1.50405 | 1.2901 |  2.0752 |  3.1366 |  7.778  | 0.980497  |   0.239844 | 0.44461  | 6.97507  |
| z        |   23   | TM1   |     0.4 | 4.26815  | 0.59109  | 0.323015 | 0.243609 |         0 | 1.6861  | 1.4954 |  5.8888 |  7.1747 | 15.8277 | 1.33868   |   0.37145  | 0.331126 | 4.97972  |
| z        |   28   | NL3   |     0.4 | 4.19581  | 0.612902 | 0.348139 | 0.266003 |         0 | 1.6949  | 1.4938 |  8.243  |  9.5954 | 18.4074 | 1.15668   |   0.373277 | 0.333862 | 7        |
| z        |   29   | TM1   |     0.4 | 4.27516  | 0.571225 | 0.319828 | 0.233004 |         0 | 1.67293 | 1.4637 |  8.6156 | 10.0203 | 18.9826 | 1.08717   |   0.356826 | 0.341708 | 7        |
| s        |   14   | TM1   |     0.4 | 4.25692  | 0.4821   | 0.223437 | 0.147034 |         0 | 1.65194 | 1.4367 |  2.6208 |  3.7828 |  8.1835 | 1.52888   |   0.333646 | 0.378164 | 6.94776  |
| z        |   15   | TM1   |     0.4 | 3.86594  | 0.225491 | 0.137688 | 0.100515 |         0 | 1.47725 | 1.3247 |  2.7392 |  3.8004 | 11.2011 | 1.02366   |   0.24073  | 0.43578  | 3.3786   |
| w        |   22   | NL3   |     0.4 | 3.24358  | 0.969689 | 0.487594 | 0.350445 |         0 | 1.85766 | 1.5534 |  5.7866 |  7.0262 |  9.1394 | 1.31853   |   0.397381 | 0.398864 | 7        |
| s        |   21   | TM1   |     0.4 | 3.49766  | 0.753097 | 0.460947 | 0.275566 |         0 | 1.80044 | 1.4629 |  5.4794 |  6.7847 |  6.2115 | 1.66228   |   0.356214 | 0.431381 | 4.10103  |
| s        |   36   | TM1   |     0.4 | 4.24096  | 0.59411  | 0.333743 | 0.24664  |         0 | 1.69802 | 1.4857 |  8.8171 |  0      |  0      | 1.26644   |   0.375911 | 0.352236 | 7        |
| z        |   31   | NL3   |     0.4 | 2.22891  | 1.06105  | 0.570941 | 0.389082 |         0 | 1.94291 | 1.5606 |  9.6196 | 11.1549 | 19.8482 | 0.510928  |   0.402433 | 0.481785 | 7        |
| s        |   40   | TM1   |     0.4 | 3.88058  | 0.938736 | 0.411234 | 0.29996  |         0 | 1.81462 | 1.5642 |  7.1804 |  0      |  0      | 1.13044   |   0.397745 | 0.345838 | 7        |
| u        |   19   | BHBlp |     0.4 | 4.17503  | 0.326134 | 0.197273 | 0.152706 |         0 | 1.58339 | 1.4509 |  4.356  |  5.8919 | 13.1048 | 1.01362   |   0.353364 | 0.309335 | 5.7517   |
| z        |   12   | TM1   |     0.4 | 2.77693  | 0.070752 | 0.021804 | 0        |         0 | 1.39985 | 1.3401 |  1.8102 |  2.5403 |  9.461  | 0.610187  |   0.258005 | 0.425849 | 7        |
| w        |   19   | NL3   |     0.4 | 4.29808  | 0.503708 | 0.307242 | 0.209226 |         0 | 1.64738 | 1.4403 |  4.551  |  5.8098 |  9.6679 | 1.56113   |   0.332671 | 0.335801 | 2.21902  |
| z        |   21   | TM1   |     0.4 | 4.0593   | 0.273641 | 0.170911 | 0.137686 |         0 | 1.49999 | 1.4615 |  4.9669 |  6.187  | 14.8152 | 0.989814  |   0.316931 | 0.339708 | 1.813    |
| w        |   17   | TM1   |     0.4 | 4.29114  | 0.352035 | 0.23963  | 0.191177 |         0 | 1.54944 | 1.4077 |  3.8085 |  5.0568 |  9.0603 | 1.41346   |   0.312418 | 0.316407 | 7        |
| z        |   29   | NL3   |     0.4 | 4.26977  | 0.542392 | 0.322296 | 0.234733 |         0 | 1.67091 | 1.4637 |  8.6156 | 10.0203 | 18.9826 | 1.13327   |   0.356856 | 0.337983 | 7        |
| s        |   12   | TM1   |     0.4 | 3.15561  | 0.175276 | 0.055081 | 0.026501 |         0 | 1.45801 | 1.2737 |  1.9702 |  3.0103 |  7.9139 | 0.780193  |   0.22304  | 0.495262 | 6.49738  |
| w        |   14   | NL3   |     0.4 | 4.31366  | 0.51665  | 0.256772 | 0.167725 |         0 | 1.66907 | 1.5178 |  2.7977 |  3.9727 |  8.0333 | 1.64232   |   0.331037 | 0.38248  | 7        |
| z        |   18   | SFHo  |     0.4 | 3.90979  | 0.712251 | 0.406671 | 0.286652 |         0 | 1.75129 | 1.6214 |  3.6398 |  4.8073 | 13.1946 | 1.76037   |   0.355916 | 0.366852 | 7        |
| z        |   22   | SFHo  |     0.4 | 4.20693  | 0.414128 | 0.206281 | 0.154566 |         0 | 1.65372 | 1.4946 |  5.3396 |  6.5918 | 15.4104 | 0.845922  |   0.373932 | 0.292597 | 2.84463  |
| z        |   11   | SFHx  |     0.4 | 2.6668   | 0.040748 | 0.012916 | 0        |         0 | 1.49443 | 1.2515 |  1.6968 |  2.3229 |  8.6782 | 0.481899  |   0.277776 | 0.47371  | 7        |
| z        |   22   | SFHx  |     0.4 | 4.2085   | 0.415603 | 0.206755 | 0.154805 |         0 | 1.65517 | 1.4946 |  5.3396 |  6.5918 | 15.4104 | 0.754274  |   0.373918 | 0.297138 | 2.95997  |
| z        |   28   | SFHx  |     0.4 | 4.14024  | 0.599208 | 0.362647 | 0.276724 |         0 | 1.70127 | 1.4938 |  8.243  |  9.5954 | 18.4074 | 0.865436  |   0.373111 | 0.340344 | 3.53617  |
| z        |   18   | SFHx  |     0.4 | 3.90464  | 0.713878 | 0.407486 | 0.287069 |         0 | 1.75999 | 1.6214 |  3.6398 |  4.8073 | 13.1946 | 1.6085    |   0.355904 | 0.38395  | 7        |
| z        |   11   | TM1   |     0.4 | 2.66686  | 0.040887 | 0.012921 | 0        |         0 | 1.4881  | 1.2515 |  1.6968 |  2.3229 |  8.6782 | 0.608716  |   0.277906 | 0.454192 | 7        |
| z        |   18   | TM1   |     0.4 | 3.898    | 0.716052 | 0.408532 | 0.287602 |         0 | 1.7634  | 1.6214 |  3.6398 |  4.8073 | 13.1946 | 1.73972   |   0.356037 | 0.395089 | 7        |
| z        |   13   | TM1   |     0.4 | 3.49782  | 0.195757 | 0.090223 | 0.036088 |         0 | 1.53395 | 1.4502 |  2.1279 |  2.9139 | 10.0874 | 0.886498  |   0.304132 | 0.39031  | 4.83276  |
| z        |   22   | TM1   |     0.4 | 4.21073  | 0.388351 | 0.207434 | 0.155146 |         0 | 1.65136 | 1.4946 |  5.3396 |  6.5918 | 15.4104 | 0.952517  |   0.37405  | 0.295442 | 3.08177  |
| z        |   30   | TM1   |     0.4 | 4.14347  | 0.652263 | 0.361869 | 0.253804 |         0 | 1.71114 | 1.5002 |  8.5264 |  9.921  | 20.082  | 1.1066    |   0.376354 | 0.347318 | 7        |
| z        |   11   | NL3   |     0.4 | 2.66686  | 0.040887 | 0.012921 | 0        |         0 | 1.48684 | 1.2515 |  1.6968 |  2.3229 |  8.6782 | 0.624405  |   0.277914 | 0.446799 | 7        |
| z        |   18   | NL3   |     0.4 | 3.87769  | 0.722326 | 0.411677 | 0.28921  |         0 | 1.76346 | 1.6214 |  3.6398 |  4.8073 | 13.1946 | 1.74675   |   0.356064 | 0.394638 | 7        |
| z        |   22   | NL3   |     0.4 | 4.16987  | 0.391789 | 0.195912 | 0.155755 |         0 | 1.65053 | 1.4946 |  5.3396 |  6.5918 | 15.4104 | 0.981459  |   0.374076 | 0.294396 | 3.11766  |
| s        |   27.2 | NL3   |     0.4 | 4.27422  | 0.513625 | 0.320267 | 0.257533 |         0 | 1.6572  | 1.5076 |  7.1726 |  9.0965 |  3.6558 | 1.22469   |   0.373465 | 0.31968  | 6.48291  |
| s        |   21.2 | TM1   |     0.4 | 4.10862  | 0.711008 | 0.369911 | 0.226508 |         0 | 1.7621  | 1.4849 |  5.4587 |  6.7649 |  6.7888 | 1.80594   |   0.363199 | 0.403176 | 2.41609  |
| u        |   11.2 | SFHo  |     0.4 | 3.64953  | 0.229911 | 0.108146 | 0.036468 |         0 | 1.50315 | 1.2489 |  2.0928 |  3.1168 |  8.083  | 1.00703   |   0.231046 | 0.431733 | 6.78585  |
| s        |   25   | NL3   |     0.4 | 1.21923  | 1.14964  | 0.635189 | 0.387495 |         0 | 2.13212 | 1.6202 |  7.1307 |  8.364  |  4.1669 | 0.0675686 |   0.419788 | 0.951034 | 7        |
| u        |   26   | SFHx  |     0.4 | 3.21442  | 1.03081  | 0.490441 | 0.334112 |         0 | 1.88951 | 1.589  |  6.9932 |  8.6881 | 17.3026 | 0.731535  |   0.415511 | 0.375015 | 2.15612  |
| w        |   27   | SFHx  |     0.4 | 4.1332   | 0.74521  | 0.364314 | 0.287927 |         0 | 1.73617 | 1.5338 |  7.8308 |  9.1161 |  6.0986 | 0.972513  |   0.388352 | 0.329599 | 6.65934  |
| w        |   29   | NL3   |     0.4 | 4.27746  | 0.519946 | 0.318731 | 0.24435  |         0 | 1.65408 | 1.4733 |  8.6815 |  9.9235 |  4.2463 | 1.24332   |   0.352274 | 0.33232  | 4.10206  |
| u        |   25   | SFHx  |     0.4 | 3.93872  | 0.921646 | 0.401988 | 0.255038 |         0 | 1.84397 | 1.5302 |  6.6807 |  8.4008 | 16.5906 | 0.90438   |   0.406819 | 0.360613 | 2.0799   |
| s        |   30   | BHBlp |     0.4 | 4.07041  | 0.580596 | 0.378005 | 0.261783 |         0 | 1.70657 | 1.4619 |  9.1209 | 10.0138 |  2.2297 | 1.24437   |   0.3516   | 0.447391 | 5.3227   |
| s        |   22.4 | SFHo  |     0.4 | 4.27935  | 0.552774 | 0.317808 | 0.238477 |         0 | 1.67103 | 1.4893 |  5.7925 |  7.0661 |  7.6956 | 1.33043   |   0.361209 | 0.321726 | 1.90873  |
| s        |   27.2 | BHBlp |     0.4 | 4.29028  | 0.531226 | 0.312017 | 0.252825 |         0 | 1.66522 | 1.5076 |  7.1726 |  9.0965 |  3.6558 | 0.997188  |   0.373377 | 0.339815 | 6.70798  |
| s        |   26.2 | BHBlp |     0.4 | 4.2757   | 0.640245 | 0.319573 | 0.253989 |         0 | 1.71058 | 1.5381 |  7.6289 |  8.8735 |  3.3592 | 0.983224  |   0.394524 | 0.326643 | 5.82598  |
| s        |   28.2 | NL3   |     0.4 | 4.23001  | 0.492943 | 0.337544 | 0.261703 |         0 | 1.63077 | 1.5255 |  7.4526 |  9.405  |  3.4024 | 1.45164   |   0.346454 | 0.389441 | 7        |
| s        |   21.2 | NL3   |     0.4 | 4.09278  | 0.719674 | 0.373348 | 0.228097 |         0 | 1.76159 | 1.4849 |  5.4587 |  6.7649 |  6.7888 | 1.83672   |   0.36323  | 0.402886 | 2.43722  |
| s        |   26.2 | NL3   |     0.4 | 4.25206  | 0.623253 | 0.329622 | 0.259637 |         0 | 1.70394 | 1.5381 |  7.6289 |  8.8735 |  3.3592 | 1.19783   |   0.394615 | 0.310435 | 6.52958  |
| s        |   27.2 | TM1   |     0.4 | 4.28056  | 0.506869 | 0.317206 | 0.255786 |         0 | 1.65872 | 1.5076 |  7.1726 |  9.0965 |  3.6558 | 1.17898   |   0.373435 | 0.322477 | 6.51902  |
| s        |   26.2 | TM1   |     0.4 | 4.26204  | 0.655125 | 0.325626 | 0.25739  |         0 | 1.70502 | 1.5381 |  7.6289 |  8.8735 |  3.3592 | 1.16268   |   0.394583 | 0.311957 | 6.54481  |
| s        |   28.2 | TM1   |     0.4 | 4.23531  | 0.48926  | 0.335733 | 0.260541 |         0 | 1.6323  | 1.5255 |  7.4526 |  9.405  |  3.4024 | 1.41453   |   0.346432 | 0.392639 | 7        |
| s        |   26.4 | SFHo  |     0.4 | 4.27402  | 0.599445 | 0.320361 | 0.256377 |         0 | 1.69128 | 1.5554 |  7.6243 |  8.8882 |  3.6574 | 1.11039   |   0.388809 | 0.295966 | 6.4952   |
| s        |   27.4 | SFHo  |     0.4 | 4.22952  | 0.630052 | 0.337708 | 0.268811 |         0 | 1.70936 | 1.5356 |  7.8852 |  9.133  |  3.9083 | 1.08664   |   0.379888 | 0.315117 | 6.61911  |
| s        |   26.4 | SFHx  |     0.4 | 4.27332  | 0.600285 | 0.320686 | 0.256563 |         0 | 1.69379 | 1.5554 |  7.6243 |  8.8882 |  3.6574 | 0.991921  |   0.388737 | 0.303959 | 6.63935  |
| s        |   27.4 | SFHx  |     0.4 | 4.22841  | 0.6309   | 0.338077 | 0.26902  |         0 | 1.71241 | 1.5356 |  7.8852 |  9.133  |  3.9083 | 0.968411  |   0.379877 | 0.324554 | 6.80167  |
| s        |   21.4 | SFHx  |     0.4 | 4.25385  | 0.478896 | 0.328925 | 0.260868 |         0 | 1.621   | 1.5108 |  5.4004 |  6.6763 |  8.1202 | 1.38553   |   0.326767 | 0.382814 | 7        |
| s        |   22.4 | SFHx  |     0.4 | 4.27853  | 0.553817 | 0.318211 | 0.238672 |         0 | 1.67469 | 1.4893 |  5.7925 |  7.0661 |  7.6956 | 1.20977   |   0.361197 | 0.332456 | 1.9664   |
| s        |   22.4 | BHBlp |     0.4 | 4.28549  | 0.544686 | 0.314662 | 0.236955 |         0 | 1.67949 | 1.4893 |  5.7925 |  7.0661 |  7.6956 | 1.22646   |   0.361272 | 0.352264 | 2.16002  |
| s        |   27.4 | BHBlp |     0.4 | 4.24156  | 0.661182 | 0.333527 | 0.266453 |         0 | 1.71571 | 1.5356 |  7.8852 |  9.133  |  3.9083 | 0.984258  |   0.379951 | 0.340415 | 5.78739  |
| s        |   21.4 | BHBlp |     0.4 | 4.26227  | 0.471657 | 0.325529 | 0.258698 |         0 | 1.63241 | 1.5108 |  5.4004 |  6.6763 |  8.1202 | 1.35635   |   0.326843 | 0.413716 | 7        |
| s        |   26.4 | BHBlp |     0.4 | 4.23162  | 0.589682 | 0.336997 | 0.254259 |         0 | 1.69563 | 1.5554 |  7.6243 |  8.8882 |  3.6574 | 1.00581   |   0.388872 | 0.318221 | 5.80645  |
| u        |   26.4 | NL3   |     0.4 | 2.54262  | 1.0484   | 0.54791  | 0.379723 |         0 | 1.9222  | 1.5765 |  7.5861 |  9.3215 | 17.0674 | 0.661751  |   0.40737  | 0.444596 | 2.4579   |
| u        |   27.4 | NL3   |     0.4 | 3.10159  | 0.995203 | 0.501119 | 0.354089 |         0 | 1.8694  | 1.5685 |  7.8152 |  9.5415 | 17.8472 | 0.869633  |   0.40911  | 0.401912 | 1.94445  |
| u        |   28.4 | NL3   |     0.4 | 1.48393  | 1.16354  | 0.619508 | 0.414671 |         0 | 2.03306 | 1.5783 |  8.444  | 10.2158 | 18.1704 | 0.407354  |   0.413269 | 0.613576 | 2.03526  |
| u        |   24.4 | NL3   |     0.4 | 3.88753  | 0.963201 | 0.410162 | 0.278498 |         4 | 1.84914 | 1.5528 |  6.3552 |  7.995  | 16.3975 | 0.793964  |   0.411112 | 0.364698 | 1.24819  |
| u        |   27.4 | TM1   |     0.4 | 3.2458   | 1.01236  | 0.487376 | 0.36557  |         0 | 1.86613 | 1.5685 |  7.8152 |  9.5415 | 17.8472 | 0.920507  |   0.409067 | 0.393967 | 1.87266  |
| u        |   28.4 | TM1   |     0.4 | 1.29316  | 1.10996  | 0.630879 | 0.422577 |         0 | 2.05482 | 1.5783 |  8.444  | 10.2158 | 18.1704 | 0.320891  |   0.413219 | 0.671559 | 2.19153  |
| u        |   25.4 | TM1   |     0.4 | 3.95401  | 0.929568 | 0.399442 | 0.254709 |         0 | 1.83588 | 1.4986 |  6.8198 |  8.5297 | 16.8614 | 0.91443   |   0.392676 | 0.36547  | 1.60323  |
| u        |   23.4 | TM1   |     0.4 | 1.44503  | 1.13034  | 0.621857 | 0.407723 |         0 | 2.02051 | 1.6189 |  6.1574 |  7.808  | 15.5851 | 0.448759  |   0.41394  | 0.584687 | 5.9649   |
| u        |   24.4 | TM1   |     0.4 | 3.9321   | 0.945601 | 0.403075 | 0.274961 |         4 | 1.84938 | 1.5528 |  6.3552 |  7.995  | 16.3975 | 0.775699  |   0.411076 | 0.364022 | 1.23704  |
| u        |   26.4 | TM1   |     0.4 | 2.76894  | 1.06254  | 0.530004 | 0.370305 |         0 | 1.91422 | 1.5765 |  7.5861 |  9.3215 | 17.0674 | 0.759991  |   0.407325 | 0.42193  | 2.24511  |
| u        |   24.6 | SFHx  |     0.4 | 4.10558  | 0.892205 | 0.370581 | 0.253314 |         0 | 1.82083 | 1.5503 |  6.648  |  8.3692 | 16.2223 | 0.825712  |   0.404163 | 0.350569 | 1.52076  |
| u        |   25.6 | NL3   |     0.4 | 3.4028   | 1.00202  | 0.47132  | 0.296994 |         0 | 1.89138 | 1.5151 |  6.9119 |  8.6136 | 16.9772 | 0.848641  |   0.387394 | 0.393002 | 1.61926  |
| u        |   24.8 | NL3   |     0.4 | 3.66857  | 0.955728 | 0.440619 | 0.27786  |         0 | 1.87241 | 1.5181 |  6.808  |  8.5345 | 16.2566 | 0.967785  |   0.395108 | 0.383409 | 1.61919  |
| u        |   27.8 | NL3   |     0.4 | 3.09016  | 0.992587 | 0.502172 | 0.355856 |         0 | 1.87929 | 1.5722 |  7.9178 |  9.6578 | 18.1302 | 0.896014  |   0.413129 | 0.404908 | 2.06536  |
| u        |   25.8 | NL3   |     0.4 | 3.01504  | 1.02974  | 0.508978 | 0.345532 |         0 | 1.90402 | 1.5976 |  7.0575 |  8.7362 | 17.0544 | 0.794091  |   0.411573 | 0.394797 | 2.68565  |
| s        |   21.8 | NL3   |     0.4 | 4.09352  | 0.710121 | 0.373189 | 0.227262 |         0 | 1.75871 | 1.486  |  5.5603 |  6.8278 |  7.9539 | 1.8233    |   0.362859 | 0.403271 | 2.49216  |
| u        |   23.8 | NL3   |     0.4 | 1.6443   | 1.17879  | 0.60965  | 0.397646 |         0 | 2.0034  | 1.6213 |  6.1446 |  7.783  | 16.0099 | 0.496165  |   0.411609 | 0.539534 | 7        |
| u        |   29.6 | BHBlp |     0.4 | 2.01152  | 1.13479  | 0.5859   | 0.41336  |         0 | 2.00521 | 1.5797 |  8.4518 | 10.2618 | 19.3243 | 0.448044  |   0.414111 | 0.568103 | 1.57089  |
| s        |   25.8 | NL3   |     0.4 | 3.94444  | 0.893476 | 0.401042 | 0.275347 |         0 | 1.7961  | 1.5563 |  7.4105 |  8.6594 |  3.7047 | 1.14047   |   0.393353 | 0.337396 | 6.44406  |
| s        |   26.8 | NL3   |     0.4 | 4.2564   | 0.576022 | 0.327919 | 0.259609 |         0 | 1.68683 | 1.5466 |  7.5838 |  8.8521 |  4.1362 | 1.21517   |   0.380145 | 0.297572 | 6.48755  |
| s        |   27.6 | BHBlp |     0.4 | 4.24887  | 0.608649 | 0.330839 | 0.265908 |         0 | 1.69454 | 1.5326 |  7.9991 |  9.2128 |  3.5755 | 0.999333  |   0.385709 | 0.336279 | 6.87028  |
| s        |   21.6 | BHBlp |     0.4 | 4.32154  | 0.473154 | 0.280597 | 0.213266 |         0 | 1.63152 | 1.4604 |  5.6329 |  6.9149 |  6.71   | 1.20501   |   0.351201 | 0.345295 | 1.99899  |
| u        |   25.6 | BHBlp |     0.4 | 3.32229  | 0.995372 | 0.479711 | 0.286442 |         0 | 1.90355 | 1.5151 |  6.9119 |  8.6136 | 16.9772 | 0.604459  |   0.387594 | 0.418721 | 1.64903  |
| s        |   27.8 | NL3   |     0.4 | 4.22156  | 0.596582 | 0.340321 | 0.270849 |         0 | 1.69532 | 1.5165 |  8.1707 |  9.3616 |  3.2023 | 1.18813   |   0.371897 | 0.320664 | 6.43386  |
| u        |   27.6 | BHBlp |     0.4 | 3.37386  | 0.950115 | 0.474377 | 0.335047 |         4 | 1.85288 | 1.5658 |  7.7529 |  9.4725 | 18.1162 | 0.743342  |   0.394487 | 0.422798 | 1.97235  |
| u        |   26.8 | NL3   |     0.4 | 3.71079  | 1.01323  | 0.435199 | 0.313783 |         0 | 1.8503  | 1.6001 |  7.4244 |  9.1337 | 17.6559 | 0.98596   |   0.406623 | 0.354489 | 1.85707  |
| s        |   22.6 | BHBlp |     0.4 | 3.8912   | 0.872411 | 0.409593 | 0.300133 |         0 | 1.79984 | 1.5341 |  5.8941 |  7.1353 |  7.5434 | 1.30173   |   0.382157 | 0.386465 | 4.70774  |
| u        |   23.8 | TM1   |     0.4 | 1.39522  | 1.12993  | 0.624842 | 0.386765 |         0 | 2.0242  | 1.6213 |  6.1446 |  7.783  | 16.0099 | 0.415292  |   0.411563 | 0.601992 | 7        |
| u        |   26.8 | TM1   |     0.4 | 3.54825  | 0.98775  | 0.45517  | 0.308263 |         0 | 1.85371 | 1.6001 |  7.4244 |  9.1337 | 17.6559 | 0.877289  |   0.406582 | 0.361552 | 1.86363  |
| s        |   27.8 | TM1   |     0.4 | 4.23326  | 0.587822 | 0.336439 | 0.268677 |         0 | 1.6965  | 1.5165 |  8.1707 |  9.3616 |  3.2023 | 1.14889   |   0.371866 | 0.322765 | 6.42182  |
| u        |   24.8 | TM1   |     0.4 | 3.74028  | 0.977721 | 0.431302 | 0.27354  |         0 | 1.87103 | 1.5181 |  6.808  |  8.5345 | 16.2566 | 0.975644  |   0.395068 | 0.379521 | 1.59327  |
| s        |   21.8 | TM1   |     0.4 | 4.10969  | 0.701559 | 0.369675 | 0.225651 |         0 | 1.75869 | 1.486  |  5.5603 |  6.8278 |  7.9539 | 1.80147   |   0.362829 | 0.403082 | 2.45531  |
| s        |   26.8 | TM1   |     0.4 | 4.26577  | 0.608641 | 0.324048 | 0.257401 |         0 | 1.68836 | 1.5466 |  7.5838 |  8.8521 |  4.1362 | 1.16959   |   0.380113 | 0.300447 | 6.5142   |
| s        |   25.8 | TM1   |     0.4 | 3.99083  | 0.910695 | 0.393085 | 0.287011 |         0 | 1.79676 | 1.5563 |  7.4105 |  8.6594 |  3.7047 | 1.12181   |   0.393315 | 0.338155 | 6.44298  |
| u        |   27.8 | TM1   |     0.4 | 2.89592  | 1.00963  | 0.519382 | 0.367282 |         0 | 1.88619 | 1.5722 |  7.9178 |  9.6578 | 18.1302 | 0.773798  |   0.413086 | 0.42057  | 2.10296  |
| u        |   25.8 | TM1   |     0.4 | 2.80417  | 1.04654  | 0.527102 | 0.337563 |         0 | 1.90881 | 1.5976 |  7.0575 |  8.7362 | 17.0544 | 0.686363  |   0.411529 | 0.407914 | 3.22979  |
| u        |   27.8 | SFHo  |     0.4 | 2.94868  | 0.99974  | 0.51483  | 0.364936 |         0 | 1.87158 | 1.5722 |  7.9178 |  9.6578 | 18.1302 | 0.841594  |   0.41296  | 0.381703 | 1.86956  |
| s        |   21.8 | SFHo  |     0.4 | 4.11863  | 0.696666 | 0.367674 | 0.224746 |         0 | 1.7446  | 1.486  |  5.5603 |  6.8278 |  7.9539 | 1.82849   |   0.362705 | 0.375531 | 2.35663  |
| u        |   23.8 | SFHo  |     0.4 | 1.48727  | 1.17634  | 0.619306 | 0.406503 |         0 | 1.98556 | 1.6213 |  6.1446 |  7.783  | 16.0099 | 0.493562  |   0.411411 | 0.485783 | 7        |
| u        |   26.8 | SFHo  |     0.4 | 3.58143  | 0.978961 | 0.451277 | 0.306386 |         0 | 1.84902 | 1.6001 |  7.4244 |  9.1337 | 17.6559 | 0.866706  |   0.406458 | 0.343191 | 1.69203  |
| u        |   24.8 | SFHo  |     0.4 | 3.52943  | 0.968861 | 0.45734  | 0.27197  |         4 | 1.86252 | 1.5181 |  6.808  |  8.5345 | 16.2566 | 0.953981  |   0.394945 | 0.362295 | 1.49143  |
| u        |   25.8 | SFHo  |     0.4 | 2.86147  | 1.03513  | 0.522309 | 0.335198 |         0 | 1.89682 | 1.5976 |  7.0575 |  8.7362 | 17.0544 | 0.754768  |   0.411403 | 0.370608 | 2.2548   |
| u        |   26.8 | SFHx  |     0.4 | 3.58683  | 0.977712 | 0.450636 | 0.30608  |         0 | 1.85435 | 1.6001 |  7.4244 |  9.1337 | 17.6559 | 0.751892  |   0.406449 | 0.357155 | 1.76365  |
| u        |   27.8 | SFHx  |     0.4 | 2.95842  | 0.998057 | 0.51398  | 0.3645   |         0 | 1.88231 | 1.5722 |  7.9178 |  9.6578 | 18.1302 | 0.720878  |   0.412951 | 0.408816 | 1.93833  |
| u        |   23.8 | BHBlp |     0.4 | 1.63455  | 1.15496  | 0.610258 | 0.401356 |         0 | 2.03979 | 1.6213 |  6.1446 |  7.783  | 16.0099 | 0.393061  |   0.411479 | 0.643074 | 6.90706  |
| u        |   26.8 | BHBlp |     0.4 | 3.64288  | 1.00787  | 0.443831 | 0.320532 |         4 | 1.85942 | 1.6001 |  7.4244 |  9.1337 | 17.6559 | 0.776905  |   0.406522 | 0.378404 | 1.99295  |
| u        |   25.8 | BHBlp |     0.4 | 2.95741  | 1.06917  | 0.514068 | 0.331137 |         0 | 1.91482 | 1.5976 |  7.0575 |  8.7362 | 17.0544 | 0.65129   |   0.41147  | 0.427435 | 4.99046  |
| u        |   23.8 | SFHx  |     0.4 | 1.5091   | 1.17316  | 0.61798  | 0.405747 |         0 | 2.00206 | 1.6213 |  6.1446 |  7.783  | 16.0099 | 0.430606  |   0.411404 | 0.529833 | 7        |
| u        |   24.8 | BHBlp |     0.4 | 3.58951  | 0.953062 | 0.450316 | 0.28534  |         4 | 1.88414 | 1.5181 |  6.808  |  8.5345 | 16.2566 | 0.701596  |   0.395009 | 0.406389 | 1.66482  |
| u        |   27.8 | BHBlp |     0.4 | 3.04139  | 1.03095  | 0.506614 | 0.36069  |         4 | 1.89724 | 1.5722 |  7.9178 |  9.6578 | 18.1302 | 0.690161  |   0.413026 | 0.450432 | 2.18288  |
| u        |   25.8 | SFHx  |     0.4 | 2.87111  | 1.0333   | 0.521493 | 0.334793 |         0 | 1.90509 | 1.5976 |  7.0575 |  8.7362 | 17.0544 | 0.631624  |   0.411396 | 0.392507 | 2.84721  |
